doc,type,topic,count
0,0,37,6
0,1,37,3
0,2,1,2
0,3,37,2
0,4,37,2
0,5,37,2
0,6,37,1
0,7,39,1
0,8,37,1
0,9,37,1
0,10,37,1
0,11,4,1
0,12,37,1
0,13,39,1
0,14,28,1
0,15,37,1
0,16,37,1
0,17,37,1
0,18,37,1
0,19,20,1
0,20,37,1
0,21,37,1
0,22,39,1
0,23,37,1
0,24,37,1
0,25,23,1
0,26,2,1
0,27,2,1
0,28,37,1
0,29,37,1
0,30,2,1
0,31,37,1
0,32,37,1
0,33,16,1
0,34,39,1
1,0,37,12
1,1,37,2
1,6,29,2
1,7,39,100
1,10,37,7
1,11,4,3
1,13,39,377
1,14,28,22
1,18,29,4
1,19,20,43
1,21,31,2
1,22,39,23
1,23,36,10
1,24,37,1
1,25,23,1
1,26,2,446
1,27,2,17
1,29,37,4
1,30,2,4654
1,33,16,36
1,34,39,32
1,35,39,2152
1,36,29,1724
1,37,39,1172
1,38,29,1064
1,39,29,940
1,40,16,868
1,41,29,823
1,42,36,691
1,43,39,628
1,44,2,610
1,45,29,597
1,46,2,580
1,47,39,576
1,48,38,545
1,49,29,542
1,50,39,514
1,51,39,493
1,52,29,489
1,53,8,486
1,54,39,479
1,55,2,478
1,56,39,469
1,57,2,451
1,58,36,430
1,59,2,421
1,60,16,407
1,61,2,397
1,62,35,373
1,63,29,349
1,64,39,348
1,65,20,331
1,66,29,319
1,67,12,318
1,68,8,317
1,69,38,316
1,70,16,314
1,71,16,306
1,72,12,303
1,73,29,302
1,74,29,288
1,75,39,287
1,76,2,285
1,77,2,283
1,78,12,281
1,79,19,280
1,80,29,280
1,81,14,278
1,82,38,273
1,83,12,273
1,84,6,271
1,85,22,269
1,86,35,262
1,87,16,258
1,88,16,257
1,89,12,251
1,90,29,246
1,91,36,244
1,92,36,242
1,93,38,241
1,94,31,240
1,95,22,238
1,96,2,237
1,97,2,237
1,98,16,233
1,99,38,233
1,100,20,231
1,101,39,230
1,102,36,224
1,103,20,220
1,104,31,218
1,105,39,218
1,106,38,217
1,107,36,211
1,108,2,206
1,109,39,201
1,110,39,200
1,111,16,197
1,112,16,195
1,113,2,195
1,114,6,194
1,115,29,189
1,116,31,188
1,117,12,188
1,118,39,186
1,119,2,186
1,120,2,186
1,121,8,185
1,122,29,184
1,123,29,183
1,124,29,183
1,125,38,181
1,126,2,180
1,127,2,184
1,128,20,179
1,129,31,178
1,130,22,177
1,131,2,174
1,132,29,173
1,133,38,172
1,134,34,188
1,135,20,172
1,136,16,168
1,137,29,167
1,138,12,165
1,139,19,165
1,140,38,164
1,141,22,161
1,142,16,157
1,143,29,155
1,144,20,154
1,145,29,154
1,146,35,153
1,147,39,152
1,148,16,152
1,149,6,152
1,150,16,148
1,151,16,148
1,152,29,147
1,153,31,146
1,154,20,168
1,155,36,145
1,156,22,145
1,157,39,144
1,158,15,142
1,159,35,142
1,160,39,142
1,161,20,142
1,162,6,142
1,163,29,141
1,164,29,141
1,165,12,141
1,166,29,141
1,167,36,140
1,168,35,140
1,169,2,140
1,170,35,139
1,171,38,138
1,172,38,141
1,173,36,135
1,174,20,133
1,175,35,133
1,176,16,132
1,177,29,131
1,178,31,129
1,179,20,129
1,180,36,129
1,181,36,128
1,182,39,127
1,183,29,126
1,184,22,126
1,185,2,124
1,186,22,123
1,187,39,123
1,188,19,123
1,189,38,122
1,190,29,121
1,191,25,121
1,192,25,121
1,193,22,120
1,194,8,120
1,195,39,120
1,196,36,119
1,197,20,119
1,198,16,118
1,199,39,118
1,200,2,116
1,201,39,116
1,202,29,115
1,203,2,115
