topic,word,weight
1,ponuro,14
1,nie³ad,11
1,obój,10
1,opowiadanie,10
1,zw³óczyæ,9
1,wzruszenie,8
1,dotkn¹æ,8
1,wpatrywaæ,7
1,nakryæ,7
1,garn¹æ,7
1,cudze,6
1,domyœlaæ,5
1,zmi³owanie,5
1,zabita,5
1,wsiów,5
1,porzucaæ,4
1,¿niwo,4
1,durny,4
1,prezent,4
1,konwój,4
1,jeœliœ,4
1,¿ylasty,3
1,przypieczêtowaæ,3
1,nie³atwy,3
1,kukaæ,3
1,os³abienie,3
1,aura,3
1,desperowaæ,3
1,roztropny,3
1,wywieŸæ,3
1,rokowania,3
1,sojusznik,3
1,hore,3
1,zjawiaæ,2
1,zapalczywoœæ,2
1,urywany,2
1,wczele,2
1,dobrany,2
1,szesnaœcie,2
1,gêœ,2
1,cuma,2
1,calamitatis,2
1,zniewa¿yæ,2
1,odwet,2
1,palenie,2
1,odstawiæ,2
1,szczup³oœæ,2
1,niemo¿ebny,2
1,wybita,2
1,g³êbokoœæ,2
2,pospolity,21
2,wyjœcie,11
2,ch³opiec,10
2,przeznaczyæ,10
2,szczup³y,9
2,poczytywaæ,8
2,uderzenie,8
2,donia,8
2,samotny,7
2,tamto,7
2,ostrzec,6
2,tchnienie,6
2,zmi³owaæ,6
2,winszowaæ,6
2,utrudziæ,6
2,trafiaæ,5
2,tañczyæ,5
2,popsowaæ,5
2,koryto,5
2,hufiec,5
2,zastawiæ,5
2,perswazja,5
2,opój,5
2,metropolita,5
2,wlaæ,4
2,wspó³czucie,4
2,gind¿a³,4
2,nawa³,4
2,wór,4
2,niekontent,4
2,zder¿yte,4
2,do³y,4
2,majaczyæ,4
2,splun¹æ,4
2,chciwoœæ,4
2,czêsty,3
2,pó³nocny,3
2,doskona³y,3
2,pomarszczyæ,3
2,szaro,3
2,pos³uchanie,3
2,ockn¹æ,3
2,budynek,3
2,przera¿aæ,3
2,zachowanie,3
2,œledziæ,3
2,z³ocisty,3
2,dziobaæ,3
2,pomrok,3
2,dworzec,3
3,byæ,4655
3,oko,610
3,móc,580
3,widzieæ,478
3,pocz¹æ,451
3,inny,447
3,swój,421
3,wszyscy,397
3,daleko,285
3,¿o³nierz,283
3,koniec,237
3,waszmoœæ,237
3,ruszyæ,206
3,swoje,195
3,przyjœæ,186
3,kniaziówna,186
3,ziemia,184
3,moja,180
3,biæ,174
3,myœl,140
3,ataman,124
3,szukaæ,116
3,czyniæ,115
3,nasz,114
3,waæpanna,114
3,czego,112
3,s³uchaæ,109
3,pu³k,107
3,ksi¹dz,100
3,póŸno,99
3,powtórzyæ,94
3,pojechaæ,88
3,twoja,87
3,bej,84
3,rozkaz,81
3,s³oñce,75
3,stawaæ,74
3,s³u¿ba,73
3,pokazaæ,70
3,blisko,68
3,ozwaæ,67
3,bom,67
3,przyjechaæ,65
3,opowiadaæ,62
3,armata,61
3,Ÿle,60
3,skrzetuskiego,60
3,rozpocz¹æ,59
3,czemu,58
3,zdrowy,57
4,got,18
4,zbroja,16
4,rozchodziæ,8
4,³askawy,8
4,wika,7
4,morski,7
4,przegl¹daæ,6
4,przynosiæ,6
4,jegomoœci¹,6
4,przewidywaæ,5
4,karb,5
4,nieboszczyk,5
4,skrêt,4
4,okr¹g³y,4
4,pokrzepiaæ,4
4,poprzestaæ,4
4,odszukaæ,4
4,latyfundium,4
4,trzeszczeæ,4
4,obiæ,3
4,zdolnoœæ,3
4,b³yskawicowy,3
4,ohydny,3
4,rozchorzeæ,3
4,³am,3
4,rajca,3
4,kronikarz,2
4,snuæ,2
4,drop,2
4,flasza,2
4,syczeæ,2
4,nagliæ,2
4,wonia,2
4,kuni,2
4,dworzyszczowy,2
4,komoda,2
4,poca³owaæ,2
4,osobnoœæ,2
4,æwiczenia,2
4,przezywaæ,2
4,perzyna,2
4,burzliwy,2
4,zniechêcenie,2
4,zachowywaæ,2
4,zgni³y,2
4,zapust,2
4,krzepki,2
4,córeczka,2
4,dwutysiêczny,2
4,przypi¹æ,2
5,b³agaæ,8
5,wyprostowaæ,7
5,mianowaæ,7
5,nadworny,7
5,przewalaæ,6
5,kolba,5
5,wci¹gn¹æ,5
5,pych,5
5,z³amanie,5
5,wêgierski,5
5,przecz,5
5,wygoda,4
5,zawtórowaæ,4
5,zarumieniæ,4
5,waga,4
5,giez³o,4
5,podsycaæ,3
5,bacznoœæ,3
5,wejrzenie,3
5,stêkaæ,3
5,dostarczaæ,3
5,sprostaæ,3
5,kudackich,3
5,pot³umiæ,3
5,grasowaæ,3
5,dziewiêædziesi¹t,3
5,znal,3
5,skala,3
5,skróciæ,3
5,stra¿a,2
5,zas³ugiwaæ,2
5,urz¹dzaæ,2
5,wykryæ,2
5,rozp³yn¹æ,2
5,skozaczyæ,2
5,orbis,2
5,pogodnie,2
5,podw³adna,2
5,wysiedzieæ,2
5,wigilia,2
5,poœwist,2
5,p³atek,2
5,odkrywaæ,2
5,toho,2
5,korowód,2
5,ladawy,2
5,run,2
5,warza,2
5,zmêczyæ,2
5,cienisty,2
6,prze¿egnaæ,10
6,wypaliæ,9
6,jesieñ,8
6,zawyæ,8
6,zagon,7
6,obrada,7
6,jarz¹cy,6
6,zalany,6
6,m¹drze,6
6,gwiazdka,5
6,uczony,5
6,rozpraszaæ,5
6,opatrzyæ,5
6,napotykaæ,5
6,kamieniecki,5
6,argument,4
6,rozwiaæ,4
6,m³odzieniec,4
6,przylecieæ,4
6,wytr¹ciæ,4
6,kotory,4
6,nietrudno,4
6,pierzyna,4
6,dopatrzyæ,3
6,przebijaæ,3
6,p³ochy,3
6,niewdziêcznoœæ,3
